,permit,permit_type_code,agentname,permit_curr_status,permit_address,permit_desc_purpose,permit_start_date,permit_end_date,permit_received_date,permit_appr_date
Print,17TOC-0335,TempOccup,"Sonic Telecom, LLC",CLOSED,,,2/6/17 7:00,2/10/17 17:00,1/20/17 8:11,2/1/17 9:51
Print,17TOC-0418,TempOccup,"Sonic Telecom, LLC",CLOSED,,,2/1/17 7:00,2/10/17 17:00,1/25/17 9:26,2/1/17 9:47
Print,17TOC-0419,TempOccup,"Sonic Telecom, LLC",CLOSED,,,2/6/17 7:00,2/10/17 17:00,1/25/17 9:39,2/1/17 9:44
Print,17TOC-0534,TempOccup,"Sonic Telecom, LLC",CLOSED,,,2/6/17 7:00,2/10/17 17:00,2/1/17 9:05,2/1/17 9:16
Print,17TOC-0607,TempOccup,"Sonic Telecom, LLC",CLOSED,,,2/13/17 7:00,2/24/17 17:00,2/6/17 13:14,2/9/17 7:31
Print,17TOC-0609,TempOccup,"Sonic Telecom, LLC",CLOSED,,,2/13/17 7:00,2/24/17 17:00,2/6/17 13:26,2/9/17 13:13
Print,17TOC-0850,TempOccup,"Sonic Telecom, LLC",CLOSED,,,2/27/17 7:00,3/10/17 17:00,2/21/17 7:38,2/27/17 15:56
Print,17TOC-0852,TempOccup,"Sonic Telecom, LLC",CLOSED,,,2/27/17 7:00,3/10/17 17:00,2/21/17 7:48,2/27/17 15:57
Print,17TOC-1146,TempOccup,"Sonic Telecom, LLC",CLOSED,,,3/13/17 7:00,3/15/17 17:00,3/7/17 8:38,3/15/17 10:10
Print,17TOC-1207,TempOccup,"Sonic Telecom, LLC",CLOSED,,,3/16/17 7:00,3/21/17 17:00,3/9/17 8:11,3/15/17 15:55
Print,17TOC-1249,TempOccup,"Sonic Telecom, LLC",WRK_ACCOUNTING,,,3/20/17 7:00,3/31/17 17:00,3/10/17 8:44,
Print,17TOC-1285,TempOccup,"Sonic Telecom, LLC",CLOSED,,,3/27/17 7:00,3/31/17 17:00,3/14/17 9:10,3/17/17 14:37
Print,17TOC-1288,TempOccup,"Sonic Telecom, LLC",CLOSED,,,4/3/17 7:00,4/7/17 17:00,3/14/17 10:19,3/17/17 14:33
Print,17TOC-1557,TempOccup,"Sonic Telecom, LLC",CLOSED,,,4/10/17 7:00,4/14/17 17:00,3/28/17 7:51,3/30/17 8:17
Print,17TOC-1558,TempOccup,"Sonic Telecom, LLC",CLOSED,,,4/17/17 7:00,4/21/17 17:00,3/28/17 8:01,3/30/17 8:43
Print,17TOC-1559,TempOccup,"Sonic Telecom, LLC",CLOSED,,,4/24/17 7:00,5/5/17 17:00,3/28/17 8:09,3/30/17 8:43
Print,17TOC-1904,TempOccup,"Sonic Telecom, LLC",CLOSED,,,4/17/17 7:00,4/28/17 17:00,4/7/17 10:07,4/11/17 7:15
Print,17TOC-1905,TempOccup,"Sonic Telecom, LLC",CLOSED,,,4/17/17 7:00,4/28/17 17:00,4/7/17 10:21,4/7/17 15:33
Print,17TOC-2177,TempOccup,"Sonic Telecom, LLC",CLOSED,,,5/1/17 7:00,5/11/17 17:00,4/21/17 8:59,4/21/17 15:39
Print,17TOC-2178,TempOccup,"Sonic Telecom, LLC",CLOSED,,,5/1/17 7:00,5/12/17 17:00,4/21/17 9:54,4/21/17 15:36
Print,17TOC-2469,TempOccup,"Sonic Telecom, LLC",CLOSED,3359 26TH ST,,5/15/17 7:00,5/16/17 17:00,5/4/17 8:39,5/4/17 9:21
Print,17TOC-2579,TempOccup,"Sonic Telecom, LLC",WRK_ACCOUNTING,,,5/15/17 7:00,5/19/17 17:00,5/9/17 7:36,
Print,17TOC-2580,TempOccup,"Sonic Telecom, LLC",CLOSED,,,8/9/17 7:00,8/11/17 17:00,5/9/17 7:48,8/7/17 12:20
Print,17TOC-2582,TempOccup,"Sonic Telecom, LLC",WRK_ACCOUNTING,,,5/15/17 7:00,5/19/17 17:00,5/9/17 7:58,
Print,17TOC-2819,TempOccup,"Sonic Telecom, LLC",CLOSED,3402 26TH ST,,5/17/17 6:00,5/19/17 17:00,5/16/17 11:28,5/16/17 11:45
Print,17TOC-2995,TempOccup,"Sonic Telecom, LLC",UNASSIGN,,,5/23/17 7:00,5/31/17 13:00,5/22/17 12:58,
Print,17TOC-2996,TempOccup,"Sonic Telecom, LLC",CLOSED,,,5/23/17 7:00,5/26/17 13:00,5/22/17 12:58,5/22/17 13:12
Print,17TOC-2997,TempOccup,"Sonic Telecom, LLC",CLOSED,,,5/26/17 7:00,5/31/17 13:00,5/22/17 13:05,5/22/17 13:15
Print,17TOC-3112,TempOccup,"Sonic Telecom, LLC",DENIED,,,6/1/17 7:00,6/9/17 17:00,5/26/17 9:40,
Print,17TOC-3114,TempOccup,"Sonic Telecom, LLC",CLOSED,,,6/1/17 7:00,6/9/17 17:00,5/26/17 9:47,
Print,17TOC-3128,TempOccup,"Sonic Telecom, LLC",CLOSED,1 NORWICH ST,,5/30/17 8:00,6/1/17 17:00,5/26/17 12:16,5/26/17 12:45
Print,17TOC-3129,TempOccup,"Sonic Telecom, LLC",CLOSED,3049 22ND ST,,5/31/17 8:00,6/2/17 17:00,5/26/17 12:27,5/26/17 12:47
Print,17TOC-3131,TempOccup,"Sonic Telecom, LLC",CLOSED,76 MONTCALM ST,,6/1/17 8:00,6/5/17 17:00,5/26/17 12:32,5/26/17 12:49
Print,17TOC-3140,TempOccup,"Sonic Telecom, LLC",VOID,,,6/7/17 7:00,6/7/17 17:00,5/26/17 15:42,1/1/00 0:00
Print,17TOC-3255,TempOccup,"Sonic Telecom, LLC",CLOSED,,,6/12/17 8:00,6/15/17 17:00,6/5/17 7:34,6/7/17 9:06
Print,17TOC-3256,TempOccup,"Sonic Telecom, LLC",CLOSED,,,6/12/17 8:00,6/15/17 17:00,6/5/17 7:51,6/7/17 9:09
Print,17TOC-3257,TempOccup,"Sonic Telecom, LLC",CLOSED,,,6/12/17 8:00,6/15/17 17:00,6/5/17 8:06,6/7/17 9:09
